,Unnamed: 0,Unnamed: 1,Strefa1,Strefa2,Strefa3,Strefa4,Strefa5,Strefa6,Strefa7,Strefa8,Strefa9,Strefa10,Unnamed: 12
0,00:00:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
1,00:02:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
2,00:04:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
3,00:06:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
4,00:08:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
5,00:10:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
6,00:12:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
7,00:14:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
8,00:16:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
9,00:18:41,19/06/2018,252,244,0,0,0,0,0,0,0,0,
10,00:20:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
11,00:22:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
12,00:24:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
13,00:26:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
14,00:28:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
15,00:30:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
16,00:32:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
17,00:34:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
18,00:36:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
19,00:38:41,19/06/2018,251,244,0,0,0,0,0,0,0,0,
20,00:40:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
21,00:42:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
22,00:44:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
23,00:46:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
24,00:48:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
25,00:50:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
26,00:52:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
27,00:54:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
28,00:56:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
29,00:58:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
30,01:00:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
31,01:02:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
32,01:04:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
33,01:06:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
34,01:08:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
35,01:10:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
36,01:12:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
37,01:14:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
38,01:16:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
39,01:18:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
40,01:20:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
41,01:22:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
42,01:24:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
43,01:26:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
44,01:28:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
45,01:30:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
46,01:32:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
47,01:34:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
48,01:36:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
49,01:38:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
50,01:40:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
51,01:42:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
52,01:44:41,19/06/2018,251,243,0,0,0,0,0,0,0,0,
53,01:46:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
54,01:48:42,19/06/2018,251,243,0,0,0,0,0,0,0,0,
55,01:50:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
56,01:52:41,19/06/2018,250,243,0,0,0,0,0,0,0,0,
57,01:54:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
58,01:56:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
59,01:58:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
60,02:00:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
61,02:02:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
62,02:04:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
63,02:06:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
64,02:08:42,19/06/2018,250,243,0,0,0,0,0,0,0,0,
