,Unnamed: 0,Unnamed: 1,Strefa1,Strefa2,Strefa3,Strefa4,Strefa5,Strefa6,Strefa7,Strefa8,Strefa9,Strefa10,Unnamed: 12
0,12:29:19,18/06/2018,256,248,0,0,0,0,0,0,0,0,
1,12:31:20,18/06/2018,256,248,0,0,0,0,0,0,0,0,
2,12:34:37,18/06/2018,273,252,0,0,0,0,0,0,0,0,
3,12:36:38,18/06/2018,267,250,0,0,0,0,0,0,0,0,
4,12:38:37,18/06/2018,262,249,0,0,0,0,0,0,0,0,
5,12:40:38,18/06/2018,259,249,0,0,0,0,0,0,0,0,
6,12:42:37,18/06/2018,258,249,0,0,0,0,0,0,0,0,
7,12:44:37,18/06/2018,257,249,0,0,0,0,0,0,0,0,
8,12:46:37,18/06/2018,257,248,0,0,0,0,0,0,0,0,
9,12:48:38,18/06/2018,257,248,0,0,0,0,0,0,0,0,
10,12:50:37,18/06/2018,257,248,0,0,0,0,0,0,0,0,
11,12:52:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,
12,12:54:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,
13,12:56:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,
14,12:58:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,
15,13:00:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,
16,13:02:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,
17,13:04:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,
18,13:06:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,
19,13:08:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,
20,13:10:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,
21,13:12:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,
22,13:14:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,
23,13:16:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,
24,13:18:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,
